,Subject Focus,Eyes,Face,Near,Action,Accessory,Group,Collage,Human,Occlusion,Info,Blur,Pawpularity,Breed,kfold,path,norm_score,oof
0,0,1,1,1,0,0,0,0,0,0,0,0,25,1,8,../input/petfinder-pawpularity-score/train/7b4c408fa4ad8bc1d1a720dc0417c8b6.jpg,0.25,32.770164
1,0,1,1,1,0,0,0,0,0,0,0,0,36,0,2,../input/petfinder-pawpularity-score/train/b9cf47f8b3b5a0855bb3293b138776e5.jpg,0.36,32.947937
2,0,1,1,0,0,0,0,0,1,1,0,0,51,1,8,../input/petfinder-pawpularity-score/train/ff903858a9899465ee4cd17e942bef24.jpg,0.51,37.63737
3,1,1,1,1,0,0,0,0,0,0,0,0,29,1,5,../input/petfinder-pawpularity-score/train/86ccbbb4eee306d37ac4c41c031ffce5.jpg,0.29,36.79422
4,0,1,1,1,0,0,0,0,0,0,0,0,17,0,0,../input/petfinder-pawpularity-score/train/fe80fffa8bab0dafba63a9b4f07b557a.jpg,0.17,26.06312
5,0,1,1,1,0,0,0,0,0,0,0,0,45,0,8,../input/petfinder-pawpularity-score/train/abc3bc25190cf419862c6c7e10f14e77.jpg,0.45,42.266987
6,0,1,1,1,0,0,0,0,1,1,0,0,20,1,0,../input/petfinder-pawpularity-score/train/184fd818be6dc9c85c6338d69f1dfbfc.jpg,0.2,32.279415
7,0,0,1,0,0,0,1,0,0,0,0,0,63,0,1,../input/petfinder-pawpularity-score/train/349a9a75b55fa09d25ada92db218fe01.jpg,0.63,47.093147
8,0,1,1,1,0,0,0,0,0,0,0,0,68,1,9,../input/petfinder-pawpularity-score/train/fe4bf4b8c1973ff95c063c26d6d6c6c6.jpg,0.68,35.410103
9,0,0,1,0,0,0,0,0,0,0,0,1,38,1,9,../input/petfinder-pawpularity-score/train/f425b5e9f8496c49a62f969563917f1a.jpg,0.38,37.371086
10,0,1,1,1,0,0,0,0,0,0,0,0,28,1,0,../input/petfinder-pawpularity-score/train/ce401880c38525d8c64d03ee67973546.jpg,0.28,38.362972
11,0,1,1,1,0,1,0,0,0,0,0,0,67,0,1,../input/petfinder-pawpularity-score/train/7c09a00a06593b328e45784d0243a7c5.jpg,0.67,47.5447
12,0,1,1,1,0,0,0,0,1,1,0,0,15,0,5,../input/petfinder-pawpularity-score/train/be82fb5ea77fea131344f7036bb2cbce.jpg,0.15,33.20274
13,0,1,1,1,0,0,0,0,0,0,0,0,33,1,3,../input/petfinder-pawpularity-score/train/202d1e0561b8ec3670a2d908c4e6d0be.jpg,0.33,29.895258
14,0,1,1,0,0,0,0,0,0,0,0,0,34,0,7,../input/petfinder-pawpularity-score/train/07a0e04648dfea375f63faa9dff4351b.jpg,0.34,34.36949
15,0,0,0,1,0,0,0,0,0,0,0,0,23,1,4,../input/petfinder-pawpularity-score/train/398b44e52cb24d2c7cde9c4ba7e213cf.jpg,0.23,37.9936
16,0,1,1,1,0,0,0,0,0,0,0,0,19,0,9,../input/petfinder-pawpularity-score/train/678d44afb8ee54f964319f893d50d176.jpg,0.19,36.864834
17,0,1,1,1,0,0,0,0,0,0,0,0,19,0,6,../input/petfinder-pawpularity-score/train/6dfe690c4431ac793f709a2e63cba724.jpg,0.19,30.793901
18,0,1,1,1,0,0,0,0,0,1,0,0,39,1,1,../input/petfinder-pawpularity-score/train/64ef283f60d9a1a10545444731d5f6ce.jpg,0.39,34.2781
19,0,1,1,1,0,0,0,0,1,1,0,0,43,1,0,../input/petfinder-pawpularity-score/train/7f6ddf2437724fa4281fc6b80482392c.jpg,0.43,39.084564
