,Subject Focus,Eyes,Face,Near,Action,Accessory,Group,Collage,Human,Occlusion,Info,Blur,Pawpularity,Breed,kfold,path,norm_score,oof
0,0,1,1,1,0,0,0,0,1,1,0,0,21,1,2,../input/petfinder-pawpularity-score/train/c59a96f9152b25886f8506fbe323a30e.jpg,0.21,25.423113
1,0,1,1,0,0,0,0,0,0,0,0,0,48,1,0,../input/petfinder-pawpularity-score/train/cc867dc24fde59240f16929193b8d8d0.jpg,0.48,34.334175
2,0,1,1,1,0,0,0,0,1,1,0,0,31,1,4,../input/petfinder-pawpularity-score/train/653101d10a09f9c84303e28e60d5431e.jpg,0.31,31.56305
3,0,1,1,1,0,0,0,0,1,0,0,0,4,0,0,../input/petfinder-pawpularity-score/train/03061e5075bde4995adf6cbf189b0901.jpg,0.04,23.633993
4,0,1,1,1,0,0,0,0,1,0,0,0,21,0,0,../input/petfinder-pawpularity-score/train/f39e4ffa826f0370b6d9ca392baad06a.jpg,0.21,31.742626
5,0,1,1,1,0,0,0,0,1,0,0,0,22,0,2,../input/petfinder-pawpularity-score/train/e652b098452676a3c4aad6d6a990a3f1.jpg,0.22,27.18312
6,1,1,1,1,0,0,0,0,0,0,0,0,100,1,1,../input/petfinder-pawpularity-score/train/cf1609a2c7f055bfdce31bd20cb507c6.jpg,1.0,46.614685
7,0,1,1,1,0,0,0,0,0,0,0,0,9,0,1,../input/petfinder-pawpularity-score/train/618d761b6b26fbd46beb49c868688eb3.jpg,0.09,21.272224
8,0,1,1,0,0,0,1,0,0,0,0,0,65,0,3,../input/petfinder-pawpularity-score/train/99878c7d6a044c7dfafe3ffea36ad3dc.jpg,0.65,51.17624
9,0,1,1,0,0,0,1,0,0,1,0,0,40,1,2,../input/petfinder-pawpularity-score/train/ab76a89113601eca0518300cb1e95ab0.jpg,0.4,42.05996
10,0,1,1,0,0,0,0,0,0,0,0,0,32,1,2,../input/petfinder-pawpularity-score/train/48d677641d6ba84c5e30d1defa900cd6.jpg,0.32,36.16155
11,0,0,0,1,0,0,0,0,0,0,0,0,20,0,1,../input/petfinder-pawpularity-score/train/7ddbcd828933d1872f08a79d99f92e73.jpg,0.2,38.21414
12,0,1,1,1,0,0,1,0,0,0,0,0,18,0,1,../input/petfinder-pawpularity-score/train/667e48bab3286f5379d2c33e1a34221a.jpg,0.18,29.736794
13,0,0,0,1,0,0,0,0,0,0,0,0,46,0,2,../input/petfinder-pawpularity-score/train/b85cafdb3409dc62e8e67d8abdba241c.jpg,0.46,79.94423
14,0,0,0,1,0,0,0,0,1,0,0,1,41,0,3,../input/petfinder-pawpularity-score/train/e08ad1a51c641d19344d3f37bae9b77e.jpg,0.41,57.302147
15,0,1,1,0,0,0,0,0,0,0,0,0,37,1,4,../input/petfinder-pawpularity-score/train/932a3aa2e9811c4337ff414353bc9e9f.jpg,0.37,35.01991
16,0,1,1,1,1,0,0,0,0,0,0,0,25,0,1,../input/petfinder-pawpularity-score/train/375d496b9862f3c77cca3bb5a0c45616.jpg,0.25,36.082684
